,headline,url,publisher,date,stock
9355,"Correction: Citigroup Upgrades AbbVie to Neutral, Raises PT to $60.00",https://www.benzinga.com/news/15/09/5867732/correction-citigroup-upgrades-abbvie-to-neutral-raises-pt-to-60-00,Charles Gross,2015-09-28 00:00:00
9356,AbbVie's VIEKIRAX Approved in Japan for the Treatment of Genotype 1 Chronic Hepatitis C,https://www.benzinga.com/news/15/09/5867672/abbvies-viekirax-approved-in-japan-for-the-treatment-of-genotype-1-chronic-hepati,Charles Gross,2015-09-28 00:00:00
9357,"Deutsche Bank Maintains Buy on AbbVie, Raises PT to $85.00",https://www.benzinga.com/news/15/07/5713228/deutsche-bank-maintains-buy-on-abbvie-raises-pt-to-85-00,Eddie Staley,2015-07-29 00:00:00
9358,"SunTrust Robinson Humphrey Initiates Coverage on AbbVie at Buy, Announces $85.00 PT",https://www.benzinga.com/news/15/07/5692192/suntrust-robinson-humphrey-initiates-coverage-on-abbvie-at-buy-announces-85-00-pt,Paul Quintaro,2015-07-22 00:00:00
9359,AbbVie Reports IMBRUIVCA Now Approved to Treat Waldenstrom's Macroglobulinemia in Europe,https://www.benzinga.com/news/15/07/5663313/abbvie-reports-imbruivca-now-approved-to-treat-waldenstroms-macroglobulinemia-in-,Paul Quintaro,2015-07-10 00:00:00
9360,Piper Jaffray Initiates Coverage on AbbVie at Overweight,https://www.benzinga.com/news/15/06/5600028/piper-jaffray-initiates-coverage-on-abbvie-at-overweight,Eddie Staley,2015-06-16 00:00:00
9361,"AbbVie, Galapagos Present Cystic Fibrosis Corrector and Potentiator Screening Approach at ECFS Conference",https://www.benzinga.com/news/15/06/5593169/abbvie-galapagos-present-cystic-fibrosis-corrector-and-potentiator-screening-appr,Charles Gross,2015-06-15 00:00:00
9362,Phase 1b Study of Investigational Treatment Venetoclax with Rituximab Shows Clinical Response in Patients with Relapsed/Refractory CLL,https://www.benzinga.com/news/15/06/5589779/phase-1b-study-of-investigational-treatment-venetoclax-with-rituximab-shows-clini,Charles Gross,2015-06-12 00:00:00
9363,"Jefferies Maintains Buy on AbbVie, Raises PT to $90.00",https://www.benzinga.com/news/15/06/5574700/jefferies-maintains-buy-on-abbvie-raises-pt-to-90-00,Eddie Staley,2015-06-08 00:00:00
9364,"Jefferies Maintains Buy on AbbVie, Lowers PT to $90.00",https://www.benzinga.com/news/15/06/5574698/jefferies-maintains-buy-on-abbvie-lowers-pt-to-90-00,Eddie Staley,2015-06-08 00:00:00
9365,Pharmacyclics AnnouncesIMBRUVICA Phase Ib/II Data Show Promise in Patients with Chronic Graft-Versus-Host-Disease at ASCO,https://www.benzinga.com/news/15/05/5554444/pharmacyclics-announcesimbruvica-phase-ibii-data-show-promise-in-patients-with-ch,Charles Gross,2015-05-31 00:00:00
